name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Yang Terbaik Bagimu (Jangan Lupakan Ayah) [feat. Gita Gutawa],Heaven Of Love,Ada Band,0hcshcvKuOODyfuvkfoW9S,2004-10-28,65,252261,0.329,0.415,0.611,0.00334,0.113,0.318,-6.991,0.0468,168.001,2,3
Malam Biru,Sandhy Sondoro,Sandhy Sondoro,6PY4SQue8uzeN3GrLaHwgF,2010-01-01,51,168200,0.865,0.239,0.549,0.0,0.109,0.834,-6.949,0.0384,119.994,0,4
Dengarkan Curhatku,Storytelling,Vierra,55soKhJKi2kx8nZ8FYVwlA,2022-02-07,45,151040,0.417,0.373,0.849,0.000132,0.104,0.69,-5.133,0.03,179.826,3,4
Rahasia hati,King of Soundtrack,Nidji,7lq2dq2VRLyaN1JW1MXrAC,2014-01-01,54,250755,0.572,0.461,0.643,0.0144,0.139,0.352,-7.358,0.0338,123.969,8,4
Baby Doll,Indah,Utopia,525sHGS4t4GYsFvD3TDWHZ,2007,48,208826,0.625,0.0164,0.769,0.00625,0.192,0.768,-6.317,0.0287,140.049,7,4
Jadi Gila,Friday,RAN,7tQSM3hZtUVuAnlklMsN8T,2009-01-01,45,261373,0.874,0.195,0.493,0.0,0.0739,0.85,-7.871,0.0592,99.948,7,4
Kamu Yang Pertama,Anugrah Terindah,Geisha,38YNdg9kycUV60ukTyTT1e,2009-01-01,47,183533,0.63,0.106,0.793,0.0,0.075,0.602,-4.786,0.0348,135.02,7,4
Magic,Dunia Sempurna,Lyla,4gBgYl7wW3a0J2DOtCE37l,2014-05-02,0,233013,0.621,0.00238,0.705,1.81e-05,0.0943,0.607,-6.323,0.0284,109.948,0,4
Di Ujung Jalan,Perihal Besar,SAMSONS,70GUGyk1sJYFTqZpSJj2KM,2013-01-01,55,233640,0.413,0.0512,0.646,5.65e-06,0.213,0.26,-2.812,0.0284,140.002,9,4
Akhir Rasa Ini,Naluri Lelaki (Special Edition),SAMSONS,5FfIuxqeRDx2eoZDVr0uwa,2016-09-21,56,294653,0.41,0.043,0.765,0.0,0.252,0.137,-5.253,0.0407,145.985,2,4
Cinderella,Langkah Baru,Radja,3nWlfhNCcDhAxlsHmcggEG,2005-09-16,49,212137,0.481,4.5e-05,0.876,0.0,0.108,0.606,-7.461,0.0467,171.973,4,4
BBC (Benci Bilang Cinta),Aku Ada Karena Kau Ada,Radja,1dTHSvQEzXMzoBsA5U9txv,2006-02-20,47,281193,0.618,0.167,0.895,0.0,0.0855,0.535,-5.991,0.0773,109.942,0,4
Mau Dibawa Kemana,Hal Terbesar,Armada,2CulJODngVvPoLtQrZVWoy,2009-07-23,57,239573,0.645,0.491,0.568,0.0,0.117,0.732,-5.921,0.0259,109.988,9,4
Gadis Genit,Yang Kedua,Vidi Aldiano,3RmpYZweAJVLuzFUfwoVKR,2011-07-22,26,230213,0.709,0.372,0.578,0.0,0.363,0.797,-7.371,0.039,124.996,7,4
Cinta Pertama Dan Terakhir,Gemini,Sherina,4TomVy5zx50p9boc8FqYnT,2009-09-07,58,275133,0.447,0.641,0.479,0.0,0.263,0.359,-5.815,0.0285,151.815,9,4
Kucinta Kau Apa Adanya,Once,Once Mekel,03OwtkeHmoMT8JY3kv8WhF,2012,63,265280,0.533,0.522,0.444,0.00019,0.129,0.319,-7.794,0.0238,76.977,2,3
Untuk Sahabat,23-03,Audy,4G3R8NvD5sPiAPKMZVDt54,2006-03-20,31,192226,0.582,0.119,0.769,6.75e-06,0.226,0.562,-4.939,0.0442,110.061,6,4
Hampa,Keseimbangan,Ari Lasso,6bE0o9hYUPYlokZIH79oM0,2003,69,298893,0.528,0.391,0.624,0.0,0.0777,0.374,-6.613,0.0301,80.051,11,4
Cintailah Aku Sepenuh Hati,Yang Terbaik,Ari Lasso,5n8YOy9hd8o4d3OHteTVCJ,2012-06-03,53,247533,0.51,0.0756,0.424,0.0,0.112,0.125,-7.85,0.0264,146.093,11,5
Arti Cinta,"Kulihat, Kudengar, Kurasa",Ari Lasso,6TDxFogJOtrsVVK5eNWjIP,2004,53,251293,0.411,0.136,0.661,0.0,0.101,0.207,-8.846,0.042,175.684,2,4
Jika (feat. Melly Goeslaw),Sendiri Dulu,Ari Lasso,1vx8MAnPkvu2Vq6LlfPMKM,2001,33,325560,0.691,0.197,0.559,7.4e-06,0.128,0.549,-8.901,0.0232,100.122,5,4
